name,calories,protein,carbs,fat
"Pintado, cru",91.083233,18.556667,0,1.313333
"Pintado, grelhado",152.190088,30.795833,0,2.294
"Porquinho, cru",93.024567,20.49,0,0.613333
"Salmão, filé, com pele, fresco,  grelhado",228.731775,23.91875,0,14.035333
"Salmão, sem pele, fresco, cru",169.78158,19.252083,0,9.709
"Salmão, sem pele, fresco, grelhado",242.706569,26.141667,0,14.532333
"Sardinha, assada",164.350788,32.179167,0,2.987333
"Sardinha, conserva em óleo",284.981005,15.939583,0,24.048667
"Sardinha, frita",257.0407,33.383333,0,12.693333
"Sardinha, inteira, crua",113.900367,21.076667,0,2.65
"Tucunaré, filé, congelado, cru",87.686484,17.958333,-0.045,1.22
Apresuntado,128.857256,13.45,2.862,6.690667
"Caldo de carne, tablete",240.623333,7.82,15.053333,16.57
"Caldo de galinha, tablete",251.445667,6.279167,10.6455,20.416333
"Carne, bovina, acém, moído, cozido",212.4204,26.686667,0,10.916667
"Carne, bovina, acém, moído, cru",136.562333,19.42,0,5.946667
"Carne, bovina, acém, sem gordura, cozido",214.610567,27.27,0,10.883333
"Carne, bovina, acém, sem gordura, cru",144.029433,20.816667,0,6.113333
"Carne, bovina, almôndegas, cruas",189.256667,12.3125,9.794167,11.203333
"Carne, bovina, almôndegas, fritas",271.813,18.15625,14.28675,15.782333
"Carne, bovina, bucho, cozido",133.022867,21.64,0,4.503333
"Carne, bovina, bucho, cru",137.303167,20.53,0,5.503333
"Carne, bovina, capa de contra-filé, com gordura, crua",216.908967,19.196667,0,14.96
"Carne, bovina, capa de contra-filé, com gordura, grelhada",311.702667,30.686667,0,20.03
"Carne, bovina, capa de contra-filé, sem gordura, crua",131.062467,21.54,0,4.333333
"Carne, bovina, capa de contra-filé, sem gordura, grelhada",239.443633,35.063333,-0.006667,9.95
"Carne, bovina, charque, cozido",262.780142,36.364583,0,11.918333
"Carne, bovina, charque, cru",248.861018,22.714583,0,16.837
"Carne, bovina, contra-filé, à milanesa",351.592659,20.6125,12.1745,23.998
"Carne, bovina, contra-filé de costela, cru",202.4374,19.8,0,13.07
"Carne, bovina, contra-filé de costela, grelhado",274.914267,29.88,0,16.333333
"Carne, bovina, contra-filé, com gordura, cru",205.8567,21.15,0,12.81
"Carne, bovina, contra-filé, com gordura, grelhado",278.053567,32.396667,0,15.49
"Carne, bovina, contra-filé, sem gordura, cru",156.615833,23.996667,0,6.003333
"Carne, bovina, contra-filé, sem gordura, grelhado",193.691567,35.883333,0,4.486667
"Carne, bovina, costela, assada",373.038867,28.806667,0,27.72
"Carne, bovina, costela, crua",357.722467,16.706667,0,31.75
"Carne, bovina, coxão duro, sem gordura, cozido",216.616067,31.88,0,8.923333
"Carne, bovina, coxão duro, sem gordura, cru",147.966333,21.513333,0,6.22
"Carne, bovina, coxão mole, sem gordura, cozido",218.6751,32.383333,0,8.913333
"Carne, bovina, coxão mole, sem gordura, cru",169.065967,21.23,0,8.693333
"Carne, bovina, cupim, assado",330.100291,28.63125,0,23.042667
"Carne, bovina, cupim, cru",221.3975,19.536667,0,15.296667
"Carne, bovina, fígado, cru",141.045867,20.713333,1.106667,5.356667
"Carne, bovina, fígado, grelhado",225.0264,29.86,4.2,9.01
"Carne, bovina, filé mingnon, sem gordura, cru",142.864267,21.6,0,5.613333
"Carne, bovina, filé mingnon, sem gordura, grelhado",219.7026,32.8,0,8.83
"Carne, bovina, flanco, sem gordura, cozido",195.575367,29.376667,0,7.77
"Carne, bovina, flanco, sem gordura, cru",141.4601,19.996667,0,6.216667
"Carne, bovina, fraldinha, com gordura, cozida",338.445733,24.24,0,26.046667
"Carne, bovina, fraldinha, com gordura, crua",220.723767,17.583333,0,16.146667
"Carne, bovina, lagarto, cozido",222.468567,32.863333,0,9.106667
"Carne, bovina, lagarto, cru",134.864567,20.543333,0,5.226667
"Carne, bovina, língua, cozida",314.9016,21.366667,0,24.796667
"Carne, bovina, língua, crua",215.249767,17.09,0,15.773333
"Carne, bovina, maminha, crua",152.765867,20.933333,0,7.026667
"Carne, bovina, maminha, grelhada",153.089676,30.735417,0,2.422333
"Carne, bovina, miolo de alcatra, sem gordura, cru",162.871233,21.61,0,7.826667
"Carne, bovina, miolo de alcatra, sem gordura, grelhado",241.363967,31.93,0,11.643333
"Carne, bovina, músculo, sem gordura, cozido",193.800333,31.233333,0,6.7
"Carne, bovina, músculo, sem gordura, cru",141.581,21.56,0,5.49
"Carne, bovina, paleta, com gordura, crua",158.7099,21.41,0,7.46
"Carne, bovina, paleta, sem gordura, cozida",193.6524,29.72,0,7.4
"Carne, bovina, paleta, sem gordura, crua",140.9415,21.03,0,5.67
"Carne, bovina, patinho, sem gordura, cru",133.4689,21.723333,0,4.513333
"Carne, bovina, patinho, sem gordura, grelhado",219.259267,35.9,0,7.313333
